freq,level,altitude,idx,caps,bssid,ssid,device_model,droid_version,app_version,device_mac,time,acc,lng,lat
2417,-70,0,56764084, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]                    , 00:83:c7:4a:d4:c8 , 4ad4c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.451,-73.9387031,40.6934611
2417,-70,0,56764156, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]                    , 00:83:c7:4a:d4:c8 , 4ad4c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,23.067,-73.9387261,40.6934644
2417,-69,-15,56778703, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]                    , 00:83:c7:4a:d4:c8 , 4ad4c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.089,-73.9399545,40.6930115
2417,-66,-15,56778776, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]                    , 00:83:c7:4a:d4:c8 , 4ad4c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.715,-73.9399201,40.6930742
2417,-63,-14,56764225, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]                    , 00:83:c7:4a:d4:c8 , 4ad4c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.952,-73.9398053,40.6934248
2417,-63,-14,56764292, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]                    , 00:83:c7:4a:d4:c8 , 4ad4c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.787,-73.9398053,40.6933862
2412,-76,0,56762632, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 44:94:fc:4a:ec:ea , 4aeceb2g                         , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,24.447,-73.9395068,40.6930154
2412,-76,-14,56762671, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 44:94:fc:4a:ec:ea , 4aeceb2g                         , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.593,-73.9382209,40.6928903
2412,-76,-14,56762715, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 44:94:fc:4a:ec:ea , 4aeceb2g                         , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.198,-73.9380831,40.6930059
2437,-75,-11,56763790, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 74:44:01:4d:ba:e4 , 4dbae5                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,23.636,-73.9375665,40.6935214
